gen,nevals,time_gen,avg,std,min,max
0,20.0,0.19624067942301432,0.42372,0.17042231250631473,-0.01720000000000005,0.7021999999999999
1,20.0,0.22298866907755535,0.38674,0.14827637842893246,0.14179999999999998,0.7021999999999999
2,20.0,0.18246059417724608,0.48223,0.1398464590184535,0.24059999999999998,0.7857000000000001
3,20.0,0.20670162836710612,0.466055,0.16215904684907342,0.22849999999999998,0.7857000000000001
4,20.0,0.22613134384155273,0.45389,0.16190121339878835,0.14179999999999998,0.7857000000000001
5,20.0,0.19886400699615478,0.48786000000000007,0.1767435271799225,0.22849999999999998,0.7857000000000001
6,20.0,0.2262508789698283,0.406775,0.1696205968477885,0.13939999999999994,0.7857000000000001
7,20.0,0.22200041611989338,0.435865,0.15613735707703008,0.13470000000000004,0.7857000000000001
8,20.0,0.19713429609934488,0.4473899999999999,0.17884813921313245,0.19439999999999996,0.7857000000000001
9,20.0,0.22727049191792806,0.44288499999999986,0.17702875550316677,0.04299999999999999,0.7892999999999998
10,20.0,0.189381472269694,0.43361,0.1554709037087004,0.23560000000000006,0.7892999999999998
11,20.0,0.2169534126917521,0.4344449999999999,0.16279093793881774,0.18999999999999995,0.7892999999999998
12,20.0,0.24352491696675618,0.44057499999999994,0.1724741687181011,0.19349999999999998,0.7892999999999998
13,20.0,0.19015649954477945,0.394545,0.1875604235306585,0.04770000000000001,0.7892999999999998
14,20.0,0.23889387448628743,0.4875300000000001,0.1499243012323219,0.1251,0.7892999999999998
15,20.0,0.21341148217519124,0.42285000000000006,0.1890482835150851,0.04770000000000001,0.7892999999999998
16,20.0,0.19927778244018554,0.4826749999999999,0.18243496067091963,0.13939999999999994,0.7892999999999998
17,20.0,0.21693294843037922,0.47513500000000003,0.14859478885546423,0.25229999999999997,0.7892999999999998
18,20.0,0.20783270994822184,0.4483599999999999,0.17058055399136204,0.18500000000000005,0.7892999999999998
19,20.0,0.20787336826324462,0.5026200000000001,0.1506255177584462,0.22849999999999998,0.7892999999999998
20,20.0,0.19784948825836182,0.475385,0.18819679932188002,0.09010000000000001,0.7943
21,20.0,0.2231590986251831,0.5101350000000001,0.1299740907835096,0.2756,0.7943
22,20.0,0.20069386959075927,0.40924500000000014,0.18299158853619474,0.11299999999999999,0.7943
23,20.0,0.22436110178629556,0.45410500000000004,0.18566315325071905,0.022799999999999987,0.7943
24,20.0,0.19485700925191243,0.49337,0.14761747897860877,0.28519999999999995,0.7943
25,20.0,0.21309253374735515,0.44301,0.2027142863737038,0.0948,0.7943
26,20.0,0.17739324569702147,0.46870500000000004,0.16064885457107997,0.18389999999999995,0.7943
27,20.0,0.2090034564336141,0.4374350000000001,0.16502244779120204,0.19349999999999998,0.7943
28,20.0,0.21706852912902833,0.428155,0.15306804851111153,0.22849999999999998,0.7943
29,20.0,0.26000983715057374,0.44512,0.1678176230316709,0.18500000000000005,0.7943
