gen,nevals,time_gen,avg,std,min,max
0,10.0,0.24069783687591553,0.7376666666666668,0.06928283417348853,0.5866666666666667,0.8466666666666666
1,10.0,0.12371801535288493,0.7610000000000002,0.05597717788924734,0.6666666666666667,0.8466666666666666
2,10.0,0.1346392075220744,0.792,0.06683645046762367,0.7066666666666668,0.9199999999999999
3,10.0,0.14644742012023926,0.7723333333333333,0.0667507802700962,0.7,0.9199999999999999
4,10.0,0.130331023534139,0.8046666666666666,0.08094167996499428,0.6733333333333333,0.9199999999999999
5,10.0,0.13816019694010417,0.7673333333333334,0.09382963284591918,0.6000000000000001,0.9199999999999999
6,10.0,0.1261674960454305,0.7786666666666667,0.07259017380701974,0.6799999999999999,0.9199999999999999
7,10.0,0.1222703774770101,0.779,0.09211164723071427,0.55,0.9199999999999999
8,10.0,0.1379973252614339,0.7406666666666666,0.10576493852984654,0.5733333333333331,0.9199999999999999
9,10.0,0.12625811100006104,0.7260000000000001,0.08984925647376768,0.62,0.9199999999999999
10,10.0,0.12702020009358725,0.7489999999999999,0.08894505170172325,0.63,0.9199999999999999
11,10.0,0.12678017616271972,0.7939999999999999,0.07748548251124207,0.6799999999999999,0.9199999999999999
12,10.0,0.1392112334569295,0.7659999999999999,0.0877471113801221,0.62,0.9199999999999999
13,10.0,0.12768243153889974,0.754,0.09893656778180877,0.5866666666666667,0.9199999999999999
14,10.0,0.13250745137532552,0.7523333333333333,0.07618763387555458,0.6133333333333333,0.9199999999999999
15,10.0,0.1282408078511556,0.741,0.10699999999999998,0.5400000000000001,0.9199999999999999
16,10.0,0.13823096752166747,0.724,0.08793684602536572,0.6000000000000001,0.9199999999999999
17,10.0,0.1276222785313924,0.7416666666666666,0.08476437931112336,0.6166666666666667,0.9199999999999999
18,10.0,0.13079389731089275,0.7246666666666666,0.09372773809758184,0.6266666666666667,0.9199999999999999
19,10.0,0.13353227774302165,0.7253333333333333,0.07398498346136043,0.6533333333333334,0.9199999999999999
20,10.0,0.12434620062510172,0.7216666666666666,0.11126794486983013,0.5400000000000001,0.9199999999999999
21,10.0,0.12292909622192383,0.733,0.08420147794955196,0.6000000000000001,0.9199999999999999
22,10.0,0.12864339351654053,0.6950000000000001,0.11174624030463944,0.52,0.9199999999999999
23,10.0,0.12405648231506347,0.7196666666666666,0.07040280928738252,0.6799999999999999,0.9199999999999999
24,10.0,0.13255542914072674,0.7696666666666666,0.07059194162382999,0.6799999999999999,0.9199999999999999
25,10.0,0.1273728370666504,0.7476666666666667,0.07751773990513397,0.6533333333333334,0.9199999999999999
26,10.0,0.11443909009297688,0.718,0.11083721797703552,0.55,0.9199999999999999
27,10.0,0.1391952594121297,0.7563333333333333,0.08993145537945363,0.6000000000000001,0.9199999999999999
28,10.0,0.12949496110280354,0.7293333333333332,0.09299701309420882,0.6000000000000001,0.9199999999999999
29,10.0,0.1250464916229248,0.7150000000000001,0.12828137476310078,0.5466666666666666,0.9199999999999999
30,10.0,0.1233633041381836,0.7293333333333333,0.09939595341640198,0.5633333333333332,0.9199999999999999
31,10.0,0.12462498346964518,0.7416666666666668,0.11044606526867913,0.5233333333333334,0.9199999999999999
32,10.0,0.12663265069325766,0.722,0.07393991554709207,0.6333333333333333,0.9199999999999999
33,10.0,0.13508077462514242,0.721,0.09211164723071426,0.6000000000000001,0.9199999999999999
34,10.0,0.13030379613240559,0.7786666666666666,0.0972305393267865,0.6000000000000001,0.9333333333333333
35,10.0,0.1299347718556722,0.7566666666666666,0.10367684837459562,0.6000000000000001,0.9333333333333333
36,10.0,0.12882485389709472,0.7343333333333334,0.0947868954843208,0.6266666666666667,0.9333333333333333
37,10.0,0.11788461208343506,0.7456666666666667,0.09570846938025449,0.5700000000000001,0.9333333333333333
