gen,nevals,time_gen,avg,std,min,max
0,10.0,0.2457443396250407,0.7693333333333333,0.06118823416311345,0.6799999999999999,0.8866666666666667
1,10.0,0.25489176909128824,0.7473333333333333,0.07568648785909181,0.6399999999999999,0.8866666666666667
2,10.0,0.256480614344279,0.759,0.06905794668247821,0.6666666666666667,0.8866666666666667
3,10.0,0.24599495728810628,0.7406666666666667,0.0955196314900764,0.6000000000000001,0.8866666666666667
4,10.0,0.2804480791091919,0.7876666666666667,0.05264239947249955,0.73,0.8866666666666667
5,10.0,0.26318941911061605,0.7803333333333333,0.06000833275471003,0.6799999999999999,0.8866666666666667
6,10.0,0.2680674076080322,0.75,0.07025350920456261,0.6399999999999999,0.8866666666666667
7,10.0,0.2642912069956462,0.7873333333333334,0.05613079962611141,0.7066666666666668,0.8866666666666667
8,10.0,0.2718360344568888,0.7459999999999999,0.08981214963590517,0.6000000000000001,0.8866666666666667
9,10.0,0.25950469970703127,0.7693333333333333,0.05751907896032801,0.6799999999999999,0.8866666666666667
10,10.0,0.2739411433537801,0.7903333333333334,0.06107281628424289,0.7066666666666668,0.8866666666666667
11,10.0,0.2599597613016764,0.7563333333333334,0.05812725503391484,0.6666666666666667,0.8866666666666667
12,10.0,0.250538428624471,0.779,0.0458027170470147,0.72,0.8866666666666667
13,10.0,0.2629090706507365,0.7723333333333333,0.0527688881402248,0.72,0.8866666666666667
14,10.0,0.26413431962331135,0.8043333333333333,0.04543738059742832,0.73,0.8866666666666667
15,10.0,0.24894858996073405,0.7723333333333333,0.07725930364687482,0.5866666666666667,0.8866666666666667
16,10.0,0.25775234699249266,0.7769999999999999,0.06332368347537033,0.6799999999999999,0.8866666666666667
17,10.0,0.258714485168457,0.7536666666666666,0.0845438742113624,0.62,0.8866666666666667
18,10.0,0.2615535100301107,0.7673333333333332,0.05432003927342717,0.7166666666666666,0.8866666666666667
19,10.0,0.2447633186976115,0.7433333333333334,0.08220570404648196,0.6133333333333333,0.8866666666666667
20,10.0,0.2550778388977051,0.7373333333333334,0.08699680709338961,0.5800000000000001,0.8866666666666667
21,10.0,0.25672778288523357,0.7676666666666667,0.056726439064063335,0.7099999999999999,0.8866666666666667
22,10.0,0.2729678551355998,0.7843333333333333,0.05750458918884459,0.72,0.8866666666666667
23,10.0,0.26628034909566245,0.7593333333333333,0.06285432894134396,0.6533333333333334,0.8866666666666667
24,10.0,0.26661941210428874,0.7580000000000001,0.0783326241102646,0.6399999999999999,0.8866666666666667
25,10.0,0.2639932711919149,0.7596666666666667,0.06286581830463285,0.6666666666666667,0.8866666666666667
26,10.0,0.25710801283518475,0.8016666666666665,0.05865624907506071,0.69,0.8866666666666667
27,10.0,0.26090574264526367,0.7676666666666666,0.07045960229490057,0.6799999999999999,0.8866666666666667
28,10.0,0.26033453941345214,0.7793333333333334,0.05236198790895718,0.7066666666666668,0.8866666666666667
29,10.0,0.2743763208389282,0.773,0.057163508173192726,0.6799999999999999,0.8866666666666667
30,10.0,0.2538021167119344,0.7896666666666666,0.048130609341203626,0.69,0.8866666666666667
31,10.0,0.2603616158167521,0.7496666666666667,0.05461888155411299,0.6799999999999999,0.8866666666666667
32,10.0,0.2687870184580485,0.776,0.06560487786742696,0.6799999999999999,0.8866666666666667
33,10.0,0.24393742084503173,0.7593333333333333,0.06514598989960935,0.6799999999999999,0.8866666666666667
34,10.0,0.24271076520284016,0.7693333333333333,0.060604363612605426,0.6533333333333334,0.8866666666666667
35,10.0,0.23910983403523764,0.7623333333333332,0.0727560612213474,0.6399999999999999,0.8866666666666667
36,10.0,0.26263288656870526,0.7673333333333333,0.06664666366576637,0.63,0.8866666666666667
37,10.0,0.2519239902496338,0.7593333333333334,0.06320689132611344,0.6799999999999999,0.8866666666666667
38,10.0,0.2544299999872843,0.7826666666666667,0.055232840472554647,0.6799999999999999,0.8866666666666667
39,10.0,0.24371344248453777,0.7436666666666667,0.06048783165048802,0.6699999999999999,0.8866666666666667
40,10.0,0.24777464071909586,0.798,0.07589759182243169,0.6399999999999999,0.9066666666666667
41,10.0,0.26250030994415285,0.7653333333333333,0.056296832356122255,0.6866666666666668,0.9066666666666667
42,10.0,0.2473026911417643,0.7586666666666667,0.08711677986090474,0.6000000000000001,0.9066666666666667
43,10.0,0.23958839575449625,0.7656666666666666,0.07020683727387245,0.6399999999999999,0.9066666666666667
44,10.0,0.2586236794789632,0.7573333333333333,0.08116923336119698,0.6399999999999999,0.9066666666666667
45,10.0,0.24006671110788982,0.7829999999999999,0.0576473956239328,0.69,0.9066666666666667
46,10.0,0.26432103315989175,0.7536666666666666,0.08844898089985108,0.62,0.9066666666666667
47,10.0,0.24359098275502522,0.768,0.05748816303282698,0.72,0.9066666666666667
48,10.0,0.28134461243947345,0.7646666666666667,0.0635994409479273,0.6699999999999999,0.9066666666666667
49,10.0,0.2640477736790975,0.7736666666666666,0.06828778970081124,0.6666666666666667,0.9066666666666667
50,10.0,0.25808279514312743,0.7553333333333334,0.0927026309107664,0.6399999999999999,0.9066666666666667
51,10.0,0.2657309055328369,0.7540000000000001,0.07256874135757231,0.6666666666666667,0.9066666666666667
52,10.0,0.2549228270848592,0.7916666666666666,0.051494336258142696,0.72,0.9066666666666667
53,10.0,0.2506291230519613,0.744,0.07310266752998831,0.6399999999999999,0.9066666666666667
54,10.0,0.26713787714640297,0.7763333333333333,0.04927135746726152,0.72,0.9066666666666667
55,10.0,0.25252571105957033,0.7666666666666667,0.08076027626390478,0.6000000000000001,0.9066666666666667
56,10.0,0.25278876622517904,0.7736666666666667,0.0507378885383826,0.72,0.9066666666666667
