gen,nevals,time_gen,avg,std,min,max
0,20,0.2128462791442871,0.46152249999999995,0.16997686568692222,0.15710000000000002,0.7114
1,20,0.1895742416381836,0.46058249999999984,0.1387198951799993,0.27085000000000004,0.7114
2,20,0.20563030242919922,0.4638524999999999,0.1414104888922671,0.08325000000000005,0.7114
3,20,0.20639252662658691,0.4858649999999999,0.1505348814228782,0.08325000000000005,0.7114
4,20,0.20083236694335938,0.4783975,0.1649268326220752,0.12204999999999999,0.7114
5,20,0.20499014854431152,0.48111999999999994,0.18497981133085845,0.08325000000000005,0.7114
6,20,0.3404715061187744,0.45522999999999997,0.14303565062598908,0.21009999999999995,0.7114
7,20,0.19451236724853516,0.5034574999999999,0.1343524527827832,0.27085000000000004,0.7114
8,20,0.2191603183746338,0.46134499999999995,0.16377521401298792,0.13470000000000004,0.7114
9,20,0.19701480865478516,0.43374499999999994,0.17365632647559948,0.13589999999999997,0.7115499999999999
10,20,0.1886913776397705,0.5055875000000001,0.14772327074212102,0.13470000000000004,0.7115499999999999
11,20,0.18467402458190918,0.4368724999999999,0.16151721384654327,0.21009999999999995,0.7115499999999999
12,20,0.19600224494934082,0.475205,0.15092962590227274,0.20354999999999995,0.7115499999999999
13,20,0.2023303508758545,0.4922324999999999,0.15975563235376083,0.1713,0.7390000000000001
14,20,0.196427583694458,0.416045,0.18333613044078356,-0.02895000000000003,0.7390000000000001
15,20,0.19686555862426758,0.3963325,0.18451047007893617,0.022499999999999964,0.7390000000000001
16,20,0.1990673542022705,0.42108999999999996,0.1778174320757107,0.08325000000000005,0.7390000000000001
17,20,0.18597030639648438,0.44421750000000004,0.17231937882533702,0.08325000000000005,0.7390000000000001
18,20,0.1959390640258789,0.45703250000000006,0.14308204139146882,0.13470000000000004,0.7390000000000001
19,20,0.19340229034423828,0.49240749999999994,0.12347865734105631,0.27085000000000004,0.7390000000000001
20,20,0.1849675178527832,0.5275925,0.1385965703715283,0.21009999999999995,0.7390000000000001
21,20,0.19922661781311035,0.48016250000000005,0.15938859657688814,0.1713,0.7390000000000001
22,20,0.20688128471374512,0.44049750000000004,0.18685585117611386,0.022499999999999964,0.7390000000000001
23,20,0.20050358772277832,0.46895,0.13056266215882703,0.28350000000000003,0.7390000000000001
24,20,0.18119072914123535,0.4303774999999999,0.17021780787787746,0.13589999999999997,0.7390000000000001
25,20,0.20573115348815918,0.46384,0.16920789180768137,0.08325000000000005,0.7390000000000001
26,20,0.21180510520935059,0.4806475,0.16271597222998732,0.19589999999999996,0.7390000000000001
27,20,0.20371460914611816,0.5136499999999999,0.1520917691724309,0.13470000000000004,0.7390000000000001
28,20,0.17879986763000488,0.4698325,0.1459695724072315,0.24920000000000003,0.7390000000000001
29,20,0.21017909049987793,0.47455749999999997,0.16636292050439005,0.12325000000000003,0.7390000000000001
30,20,0.1829848289489746,0.4661749999999999,0.16281056438388758,0.15864999999999996,0.7390000000000001
31,20,0.20130252838134766,0.43136,0.18391040454525676,0.12204999999999999,0.7390000000000001
32,20,0.1829204559326172,0.44705500000000004,0.16665066449012436,0.13470000000000004,0.7390000000000001
33,20,0.18183445930480957,0.4651724999999999,0.1872624525065022,0.08325000000000005,0.7390000000000001
34,20,0.20743107795715332,0.4265250000000001,0.15951043813807297,0.12204999999999999,0.7390000000000001
35,20,0.20792865753173828,0.5069075,0.14459936832071568,0.23195000000000005,0.7390000000000001
36,20,0.21109604835510254,0.4717549999999999,0.13654710899539396,0.28350000000000003,0.7390000000000001
37,20,0.21072626113891602,0.4681775,0.15878267181512598,0.13470000000000004,0.7390000000000001
38,20,0.20479679107666016,0.46682500000000005,0.1496863900793923,0.19589999999999996,0.7390000000000001
39,20,0.18948101997375488,0.45493750000000005,0.17951134147665992,0.12204999999999999,0.7614000000000001
40,20,0.20412778854370117,0.5344500000000001,0.1265762220956211,0.27085000000000004,0.7614000000000001
41,20,0.20699119567871094,0.48870500000000006,0.15289316196285563,0.15710000000000002,0.7614000000000001
42,20,0.19706320762634277,0.43645249999999997,0.1676573078298408,0.19589999999999996,0.7614000000000001
43,20,0.2100389003753662,0.47923499999999997,0.15051183682687552,0.1713,0.7614000000000001
44,20,0.19294428825378418,0.4477825,0.18415164964981984,-0.06555,0.7614000000000001
45,20,0.21817421913146973,0.4737074999999999,0.14951581711895903,0.15864999999999996,0.7614000000000001
46,20,0.2165207862854004,0.47196249999999995,0.15038635399779463,0.12204999999999999,0.7614000000000001
47,20,0.2202005386352539,0.5023424999999999,0.13692652343045159,0.2654,0.7614000000000001
48,20,0.1859722137451172,0.46370750000000005,0.15767277925739115,0.13470000000000004,0.7614000000000001
49,20,0.21212434768676758,0.45528250000000003,0.15793458319427697,0.18175000000000002,0.7614000000000001
50,20,0.20477819442749023,0.45301500000000006,0.20665184919327484,0.06279999999999997,0.7614000000000001
51,20,0.21204018592834473,0.45112749999999996,0.1804797242594026,0.13470000000000004,0.7614000000000001
52,20,0.2158660888671875,0.38723250000000004,0.15016857550349874,0.15710000000000002,0.7614000000000001
53,20,0.21244025230407715,0.4068125,0.19169781419919737,0.00984999999999997,0.7614000000000001
54,20,0.20747661590576172,0.4494425000000001,0.16535530402363874,0.13470000000000004,0.7614000000000001
55,20,0.19504928588867188,0.4697000000000001,0.18242081227206505,0.13470000000000004,0.7614000000000001
56,20,0.20113515853881836,0.49339500000000003,0.14640358935149095,0.23320000000000002,0.7614000000000001
57,20,0.21085286140441895,0.48904249999999994,0.18928509732345544,0.00984999999999997,0.7621
58,20,0.20087909698486328,0.4358725,0.13084101371034237,0.27085000000000004,0.7621
59,20,0.19465136528015137,0.46393000000000006,0.16278195032005235,0.13470000000000004,0.7621
60,20,0.18721556663513184,0.48609750000000007,0.14149057961132958,0.27085000000000004,0.7621
61,20,0.21149992942810059,0.5180425,0.12691577056753034,0.27085000000000004,0.7621
62,20,0.1812736988067627,0.44160249999999995,0.1439050289904769,0.25560000000000005,0.7621
63,20,0.20922493934631348,0.4550599999999999,0.18672117488383583,0.12204999999999999,0.7621
64,20,0.17534923553466797,0.46567499999999995,0.17925935505574042,0.13589999999999997,0.7621
65,20,0.1856064796447754,0.4316625,0.15006471260342985,0.18934999999999996,0.7621
66,20,0.20511817932128906,0.5025025,0.16654841824151317,0.27085000000000004,0.7621
67,20,0.21215462684631348,0.4479125,0.15970847885679082,0.21009999999999995,0.7621
68,20,0.2205812931060791,0.48558500000000004,0.15074589389101117,0.1713,0.7621
69,20,0.2013101577758789,0.47237,0.1963953954399135,0.022499999999999964,0.7621
70,20,0.20107722282409668,0.49376,0.1254824376157875,0.28350000000000003,0.7621
71,20,0.20714139938354492,0.4960425,0.1763003901548434,0.13470000000000004,0.7621
72,20,0.19917917251586914,0.5165274999999998,0.1437548333752643,0.23249999999999998,0.7621
73,20,0.19335246086120605,0.4984825,0.15696716637166513,0.27085000000000004,0.7621
74,20,0.2102494239807129,0.4650250000000001,0.15890770631092754,0.19530000000000003,0.7621
75,20,0.20605778694152832,0.47497750000000005,0.16540349185779,0.12204999999999999,0.7621
76,20,0.20345139503479004,0.4522175,0.1521863900575541,0.19165000000000004,0.7621
77,20,0.20485615730285645,0.43606999999999996,0.16508771638132258,0.13470000000000004,0.7621
78,20,0.2141094207763672,0.45806250000000004,0.13870970574819197,0.24300000000000005,0.7621
79,20,0.19313597679138184,0.50747,0.12830214768272585,0.28350000000000003,0.7621
80,20,0.19376683235168457,0.44586,0.16816607609741033,0.08325000000000005,0.7621
81,20,0.17392945289611816,0.54437,0.14584847308079713,0.27085000000000004,0.7621
82,20,0.2013382911682129,0.5262275000000001,0.15500511158910213,0.19995000000000002,0.7621
83,20,0.20544123649597168,0.4728899999999999,0.15466917323759122,0.10159999999999997,0.7621
84,20,0.1898510456085205,0.461715,0.17318788792811118,0.1713,0.7621
85,20,0.20596003532409668,0.49872999999999995,0.15414394765932263,0.08325000000000005,0.7621
86,20,0.1938164234161377,0.462885,0.14773022464952798,0.21130000000000004,0.7621
87,20,0.18262028694152832,0.45515999999999995,0.15656844318061033,0.21009999999999995,0.7621
88,20,0.21852493286132812,0.4378325,0.16845562566667224,0.08325000000000005,0.7621
89,20,0.2079613208770752,0.4485374999999999,0.1745595900222901,0.12204999999999999,0.7621
90,20,0.2009894847869873,0.4465,0.17774542539823635,0.12204999999999999,0.7621
91,20,0.2279057502746582,0.49079999999999996,0.150490000498372,0.15864999999999996,0.7621
92,20,0.1945340633392334,0.5575575,0.15789021128223876,0.12204999999999999,0.7621
93,20,0.21985459327697754,0.47265749999999995,0.15907288288313,0.13589999999999997,0.7621
94,20,0.19955945014953613,0.4793975,0.1688896447943153,0.15710000000000002,0.7621
95,20,0.21142125129699707,0.46735,0.1781366168141744,0.13470000000000004,0.7621
96,20,0.21010208129882812,0.5485275000000001,0.16083469656373903,0.08325000000000005,0.7621
97,20,0.2250218391418457,0.502975,0.15344199677728387,0.27085000000000004,0.7621
98,20,0.21988296508789062,0.4497775,0.18249539547273516,0.08325000000000005,0.7621
99,20,0.19947385787963867,0.4713425,0.1549064550583674,0.27085000000000004,0.7621
