gen,nevals,time_gen,avg,std,min,max
0,20,0.22184252738952637,0.39930000000000004,0.19151626758581108,-0.046650000000000025,0.7092
1,20,0.23688673973083496,0.4427574999999999,0.1917802663694834,0.05315000000000003,0.7092
2,20,0.19919466972351074,0.53593,0.11954970033421249,0.3124,0.7229000000000001
3,20,0.21790671348571777,0.53804,0.15349603871110162,0.18534999999999996,0.7229000000000001
4,20,0.1801309585571289,0.502375,0.18664692771379873,0.06105000000000005,0.7229000000000001
5,20,0.17914319038391113,0.5291225,0.14680124784466242,0.09965000000000002,0.7282
6,20,0.21639037132263184,0.4937625,0.12638710760496896,0.25415000000000004,0.7282
7,20,0.20292091369628906,0.5259975,0.13738248748930848,0.28340000000000004,0.7354
8,20,0.2005476951599121,0.44966249999999997,0.20488446553789771,-0.08604999999999996,0.7354
9,20,0.24584674835205078,0.43350999999999995,0.16341396712031686,0.17149999999999999,0.7354
10,20,0.20409774780273438,0.4831575,0.20245147892458082,0.029500000000000026,0.7354
11,20,0.23693490028381348,0.46828249999999993,0.14676538017785393,0.21735,0.7354
12,20,0.20713090896606445,0.4771775000000001,0.20572023264314573,-0.031749999999999945,0.7638
13,20,0.19755315780639648,0.583585,0.12395666490753939,0.2588,0.7638
14,20,0.19875550270080566,0.5171224999999999,0.1709964864222362,0.08594999999999997,0.7638
15,20,0.2164006233215332,0.5070325,0.12147480425483305,0.3124,0.7638
16,20,0.20560145378112793,0.4778700000000001,0.12821906391016902,0.28045000000000003,0.7638
17,20,0.23417234420776367,0.5101474999999999,0.1497781663619568,0.23029999999999995,0.7638
18,20,0.17659711837768555,0.5002949999999999,0.18281443522052632,0.121,0.7638
19,20,0.24499773979187012,0.5021924999999999,0.14130003739826114,0.25415000000000004,0.7638
20,20,0.24642443656921387,0.4558375,0.17141479944494292,0.14894999999999997,0.7638
21,20,0.2157905101776123,0.49113249999999997,0.12392220571289876,0.25415000000000004,0.7638
22,20,0.26968932151794434,0.4487725,0.15979380031387325,0.14209999999999995,0.7638
23,20,0.24950814247131348,0.45504249999999996,0.16393998770510504,0.08594999999999997,0.7638
24,20,0.19991135597229004,0.45889499999999994,0.16544409622286313,0.03909999999999997,0.7638
25,20,0.19829154014587402,0.47478999999999993,0.162676791983368,0.1854,0.7638
26,20,0.21953320503234863,0.498315,0.16591015196485112,0.05550000000000005,0.7638
27,20,0.24280691146850586,0.51786,0.14245827073216916,0.21735,0.7638
28,20,0.23791813850402832,0.5456699999999999,0.12888156326643468,0.33349999999999996,0.7638
29,20,0.20449566841125488,0.49132,0.15795476282784254,0.25415000000000004,0.7638
30,20,0.20761322975158691,0.4826975,0.16038984574701107,0.19015000000000004,0.7638
31,20,0.2165689468383789,0.46577,0.16300070966103183,0.25134999999999996,0.7638
32,20,0.24081110954284668,0.46773500000000007,0.16681591133641896,0.17050000000000004,0.7638
33,20,0.24602031707763672,0.5244774999999999,0.1387844375956829,0.24469999999999997,0.7638
34,20,0.2301015853881836,0.48983750000000004,0.1451712530728794,0.25415000000000004,0.7638
35,20,0.23401427268981934,0.5030425,0.16683406896899083,0.1995,0.7638
36,20,0.2574312686920166,0.3931025000000001,0.22051923639163543,0.012950000000000017,0.7638
37,20,0.2062063217163086,0.5030625,0.13058294861408973,0.23469999999999996,0.7638
38,20,0.2034144401550293,0.48012,0.15270583846074778,0.1894,0.7638
39,20,0.2285294532775879,0.4347975,0.1858137545198148,0.05550000000000005,0.7638
40,20,0.29904913902282715,0.45516249999999997,0.13783731613300512,0.3031,0.7638
41,20,0.20528936386108398,0.5045425000000001,0.1505258426940371,0.08594999999999997,0.7638
42,20,0.2277064323425293,0.5004249999999999,0.1289754080241656,0.25415000000000004,0.7638
43,20,0.16782784461975098,0.44494,0.17570579358689342,0.13644999999999996,0.7638
44,20,0.18558835983276367,0.45031750000000004,0.1887295268863619,0.017549999999999955,0.7638
45,20,0.1924295425415039,0.4935125,0.15725583445058566,0.05550000000000005,0.7638
46,20,0.22802352905273438,0.46796499999999996,0.15301149229714742,0.08594999999999997,0.7638
47,20,0.20314645767211914,0.50312,0.18024787266428416,0.15894999999999998,0.7638
48,20,0.1980292797088623,0.4590025,0.16857064652171802,0.24469999999999997,0.7638
49,20,0.23481440544128418,0.42303499999999994,0.18383254071300872,0.025949999999999973,0.7638
50,20,0.18045830726623535,0.4489349999999999,0.2000948806816406,0.11210000000000003,0.7638
51,20,0.22609329223632812,0.487875,0.15374658166931712,0.21735,0.7638
52,20,0.21305513381958008,0.4844550000000001,0.13608725408722155,0.28340000000000004,0.7638
53,20,0.2237415313720703,0.4520700000000001,0.16221306544172082,0.17314999999999997,0.7638
54,20,0.24683618545532227,0.4863350000000001,0.1742866848758103,0.08475000000000005,0.7638
55,20,0.2109694480895996,0.48201,0.1387308190345606,0.2986,0.7638
56,20,0.20566725730895996,0.4531375000000001,0.18097327418364842,0.08475000000000005,0.7638
57,20,0.2290816307067871,0.4683775,0.17173336344097498,0.16569999999999996,0.7638
58,20,0.22878742218017578,0.48277749999999997,0.18068903292327954,-0.046650000000000025,0.7638
59,20,0.2413501739501953,0.47445249999999994,0.16362511762791804,0.13644999999999996,0.7638
60,20,0.200425386428833,0.4778375,0.17005618547630075,0.08475000000000005,0.7638
61,20,0.2607841491699219,0.504335,0.15705824882826117,0.23510000000000003,0.7638
62,20,0.22207355499267578,0.49339500000000003,0.1466159148080453,0.2239,0.7638
63,20,0.22271513938903809,0.42090250000000007,0.20572724629652242,-0.05939999999999995,0.7638
64,20,0.20822978019714355,0.5012625,0.14759332884229556,0.25415000000000004,0.7638
65,20,0.23854327201843262,0.4724949999999999,0.13903470870613568,0.25415000000000004,0.7638
66,20,0.21652889251708984,0.5340550000000001,0.1370441278384448,0.25415000000000004,0.7638
67,20,0.21904563903808594,0.48897500000000005,0.15012232637086328,0.12155000000000005,0.7638
68,20,0.21009373664855957,0.4990525,0.1399931681145548,0.30305000000000004,0.7638
