,generation,max_fitness,avg_fitness,std_dev,instance
0,0,0.9733333333333334,0.9683333333333334,0.021794494717703387,1
1,1,0.9733333333333334,0.9733333333333333,1.1102230246251565e-16,1
2,2,0.9733333333333334,0.9733333333333333,1.1102230246251565e-16,1
3,3,0.9733333333333334,0.9733333333333333,1.1102230246251565e-16,1
4,4,0.9733333333333334,0.9733333333333333,1.1102230246251565e-16,1
5,5,0.9733333333333334,0.9733333333333333,1.1102230246251565e-16,1
6,6,0.9733333333333334,0.9733333333333333,1.1102230246251565e-16,1
7,7,0.9733333333333334,0.9733333333333333,1.1102230246251565e-16,1
8,8,0.9733333333333334,0.9733333333333333,1.1102230246251565e-16,1
9,9,0.9733333333333334,0.9733333333333333,1.1102230246251565e-16,1
0,0,0.9199999999999999,0.9103333333333335,0.04213602312089318,2
1,1,0.9199999999999999,0.9199999999999999,0.0,2
2,2,0.9199999999999999,0.9199999999999999,0.0,2
3,3,0.9199999999999999,0.9199999999999999,0.0,2
4,4,0.9199999999999999,0.9199999999999999,0.0,2
5,5,0.9199999999999999,0.9199999999999999,0.0,2
6,6,0.9199999999999999,0.9199999999999999,0.0,2
7,7,0.9199999999999999,0.9199999999999999,0.0,2
8,8,0.9199999999999999,0.9199999999999999,0.0,2
9,9,0.9199999999999999,0.9199999999999999,0.0,2
0,0,0.7857142857142857,0.7747142857142858,0.04794788837894742,3
1,1,0.7857142857142857,0.7857142857142858,1.1102230246251565e-16,3
2,2,0.7857142857142857,0.7857142857142858,1.1102230246251565e-16,3
3,3,0.7857142857142857,0.7857142857142858,1.1102230246251565e-16,3
4,4,0.7857142857142857,0.7857142857142858,1.1102230246251565e-16,3
5,5,0.7857142857142857,0.7857142857142858,1.1102230246251565e-16,3
6,6,0.7857142857142857,0.7857142857142858,1.1102230246251565e-16,3
7,7,0.7857142857142857,0.7857142857142858,1.1102230246251565e-16,3
8,8,0.7857142857142857,0.7857142857142858,1.1102230246251565e-16,3
9,9,0.7857142857142857,0.7857142857142858,1.1102230246251565e-16,3
0,0,0.6521428571428571,0.6486428571428572,0.01525614630239237,4
1,1,0.6521428571428571,0.6521428571428572,1.1102230246251565e-16,4
2,2,0.6521428571428571,0.6521428571428572,1.1102230246251565e-16,4
3,3,0.6521428571428571,0.6521428571428572,1.1102230246251565e-16,4
4,4,0.6521428571428571,0.6521428571428572,1.1102230246251565e-16,4
5,5,0.6521428571428571,0.6521428571428572,1.1102230246251565e-16,4
6,6,0.6521428571428571,0.6521428571428572,1.1102230246251565e-16,4
7,7,0.6521428571428571,0.6521428571428572,1.1102230246251565e-16,4
8,8,0.6521428571428571,0.6521428571428572,1.1102230246251565e-16,4
9,9,0.6521428571428571,0.6521428571428572,1.1102230246251565e-16,4
0,0,0.04000000000000015,0.03200000000000015,0.034871191548325374,5
1,1,0.04000000000000015,0.04000000000000015,0.0,5
2,2,0.04000000000000015,0.04000000000000015,0.0,5
3,3,0.04000000000000015,0.04000000000000015,0.0,5
4,4,0.04000000000000015,0.04000000000000015,0.0,5
5,5,0.04000000000000015,0.04000000000000015,0.0,5
6,6,0.04000000000000015,0.04000000000000015,0.0,5
7,7,0.04000000000000015,0.04000000000000015,0.0,5
8,8,0.04000000000000015,0.04000000000000015,0.0,5
9,9,0.04000000000000015,0.04000000000000015,0.0,5
0,0,0.8177777777777778,0.8115555555555556,0.02712203787091975,6
1,1,0.8177777777777778,0.8177777777777779,1.1102230246251565e-16,6
2,2,0.8177777777777778,0.8177777777777779,1.1102230246251565e-16,6
3,3,0.8177777777777778,0.8177777777777779,1.1102230246251565e-16,6
4,4,0.8177777777777778,0.8177777777777779,1.1102230246251565e-16,6
5,5,0.8177777777777778,0.8177777777777779,1.1102230246251565e-16,6
6,6,0.8177777777777778,0.8177777777777779,1.1102230246251565e-16,6
7,7,0.8177777777777778,0.8177777777777779,1.1102230246251565e-16,6
8,8,0.8177777777777778,0.8177777777777779,1.1102230246251565e-16,6
9,9,0.8177777777777778,0.8177777777777779,1.1102230246251565e-16,6
0,0,0.8892307692307693,0.8800000000000001,0.04023599024806775,7
1,1,0.8892307692307693,0.8892307692307693,0.0,7
2,2,0.8892307692307693,0.8892307692307693,0.0,7
3,3,0.8892307692307693,0.8892307692307693,0.0,7
4,4,0.8892307692307693,0.8892307692307693,0.0,7
5,5,0.8892307692307693,0.8892307692307693,0.0,7
6,6,0.8892307692307693,0.8892307692307693,0.0,7
7,7,0.8892307692307693,0.8892307692307693,0.0,7
8,8,0.8892307692307693,0.8892307692307693,0.0,7
9,9,0.8892307692307693,0.8892307692307693,0.0,7
